Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.5063,0.3272,0.0777,0.1255,0.8692,0.9746,0.9189,341327,8893,51349,4324,0:03:36.667243
1,val,0.5152,0.2782,0.1661,0.2080,0.8652,0.9255,0.8943,80067,6449,12473,2485,0:00:19.290922
1,test,0.6064,0.2914,0.0795,0.1249,0.8249,0.9573,0.8862,77742,3465,16499,1425,0:00:18.090379
2,train,0.4925,0.3503,0.1597,0.2194,0.8771,0.9529,0.9134,333731,16489,46783,8890,0:03:37.513459
2,val,0.5216,0.2327,0.1768,0.2009,0.8634,0.8993,0.8809,77800,8716,12314,2644,0:00:17.346962
2,test,0.5754,0.2538,0.1245,0.1670,0.8263,0.9192,0.8703,74646,6561,15693,2231,0:00:16.905672
3,train,0.4823,0.3629,0.2110,0.2668,0.8824,0.9411,0.9108,329596,20624,43926,11747,0:03:38.298357
3,val,0.5611,0.2373,0.0893,0.1298,0.8579,0.9504,0.9018,82223,4293,13622,1336,0:00:18.897404
3,test,0.6337,0.3511,0.1082,0.1654,0.8292,0.9559,0.8881,77623,3584,15985,1939,0:00:18.033248
4,train,0.4731,0.3790,0.2645,0.3115,0.8884,0.9311,0.9093,326097,24123,40950,14723,0:03:39.882230
4,val,0.5343,0.2469,0.2716,0.2586,0.8718,0.8568,0.8642,74124,12392,10896,4062,0:00:17.668637
4,test,0.5948,0.2886,0.2539,0.2701,0.8396,0.8618,0.8506,69987,11220,13373,4551,0:00:17.522120
5,train,0.4608,0.3956,0.3204,0.3540,0.8951,0.9222,0.9085,322974,27246,37837,17836,0:03:39.089024
5,val,0.5294,0.2595,0.3089,0.2821,0.8764,0.8476,0.8618,73335,13181,10338,4620,0:00:17.519000
5,test,0.6179,0.2922,0.2408,0.2640,0.8387,0.8712,0.8547,70751,10456,13608,4316,0:00:16.729232
6,train,0.4481,0.4148,0.3687,0.3904,0.9014,0.9173,0.9093,321265,28955,35148,20525,0:03:36.226818
6,val,0.5610,0.2323,0.2645,0.2474,0.8697,0.8489,0.8592,73441,13075,11001,3957,0:00:17.113995
6,test,0.6376,0.2627,0.2673,0.2650,0.8376,0.8344,0.8360,67757,13450,13133,4791,0:00:16.851244
7,train,0.4348,0.4317,0.4091,0.4201,0.9068,0.9144,0.9106,320241,29979,32898,22775,0:03:37.120751
7,val,0.6114,0.2399,0.2324,0.2361,0.8680,0.8727,0.8703,75502,11014,11482,3476,0:00:17.826627
7,test,0.6615,0.2781,0.2276,0.2503,0.8361,0.8696,0.8525,70619,10588,13845,4079,0:00:17.403640
8,train,0.4222,0.4444,0.4476,0.4460,0.9121,0.9110,0.9116,319066,31154,30756,24917,0:03:41.257360
8,val,0.5679,0.2340,0.1954,0.2130,0.8647,0.8894,0.8769,76948,9568,12035,2923,0:00:17.662633
8,test,0.6615,0.2912,0.1964,0.2346,0.8345,0.8945,0.8634,72636,8571,14403,3521,0:00:17.068784
9,train,0.4088,0.4626,0.4802,0.4712,0.9169,0.9113,0.9141,319164,31056,28939,26734,0:03:15.295197
9,val,0.6275,0.2408,0.2446,0.2427,0.8690,0.8667,0.8679,74984,11532,11300,3658,0:00:12.593484
9,test,0.6712,0.2907,0.3221,0.3056,0.8467,0.8265,0.8365,67121,14086,12150,5774,0:00:12.234090
10,train,0.3956,0.4800,0.5127,0.4958,0.9217,0.9117,0.9167,319297,30923,27127,28546,0:02:58.653919
10,val,0.6248,0.2302,0.1830,0.2039,0.8636,0.8942,0.8786,77361,9155,12220,2738,0:00:12.173124
10,test,0.6922,0.2695,0.1987,0.2288,0.8328,0.8811,0.8563,71553,9654,14362,3562,0:00:12.246123
